adduser 3.118ubuntu5
snapd 2.73+ubuntu22.04.1
software-properties-common 0.99.22.9
sosreport 4.5.6-0ubuntu1~22.04.2
squashfs-tools 1:4.5-3build1
ssh-import-id 5.11-0ubuntu1
ssl-cert 1.1.2
strace 5.16-0ubuntu3
sudo 1.9.9-1ubuntu2.6
sysstat 12.5.2-2ubuntu0.2
systemd 249.11-0ubuntu3.19
systemd-hwe-hwdb 249.11.5
systemd-sysv 249.11-0ubuntu3.19
systemd-timesyncd 249.11-0ubuntu3.19
sysvinit-utils 3.01-1ubuntu1
tar 1.34+dfsg-1ubuntu0.1.22.04.2
tcl 8.6.11+1build2
tcl8.6 8.6.12+dfsg-1build1
tcpdump 4.99.1-3ubuntu0.2
telnet 0.17-44build1
thermald 2.4.9-1ubuntu0.4
thin-provisioning-tools 0.9.0-2ubuntu1
time 1.9-0.1build2
tmux 3.2a-4ubuntu0.2
tnftp 20210827-4build1
tpm-udev 0.6
tree 2.0.2-1
tzdata 2025b-0ubuntu0.22.04.1
ubuntu-advantage-tools 33.2~22.04
ubuntu-drivers-common 1:0.9.6.2~0.22.04.8
ubuntu-keyring 2021.03.26
ubuntu-minimal 1.481.3
ubuntu-pro-client 33.2~22.04
ubuntu-pro-client-l10n 33.2~22.04
ubuntu-release-upgrader-core 1:22.04.20
ubuntu-server 1.481.3
ubuntu-server-minimal 1.481.3
ubuntu-standard 1.481.3
ucf 3.0043
udev 249.11-0ubuntu3.19
udisks2 2.9.4-1ubuntu2.3
ufw 0.36.1-4ubuntu0.1
unattended-upgrades 2.8ubuntu1
update-manager-core 1:22.04.21
update-notifier-common 3.192.54.8
upower 0.99.17-1
usb-modeswitch 2.6.1-3ubuntu2
usb-modeswitch-data 20191128-4
usb.ids 2022.04.02-1
usbmuxd 1.1.1-2ubuntu0.1
usbutils 1:014-1build1
usrmerge 25ubuntu2
util-linux 2.37.2-4ubuntu3.5
uuid-runtime 2.37.2-4ubuntu3.5
vim 2:8.2.3995-1ubuntu2.26
vim-common 2:8.2.3995-1ubuntu2.26
vim-runtime 2:8.2.3995-1ubuntu2.26
vim-tiny 2:8.2.3995-1ubuntu2.26
wget 1.21.2-2ubuntu1.1
whiptail 0.52.21-5ubuntu2
wireless-regdb 2025.10.07-0ubuntu1~22.04.1
xauth 1:1.1-1build2
xdg-user-dirs 0.17-2ubuntu4
xfsprogs 5.13.0-1ubuntu2
xkb-data 2.33-1
xxd 2:8.2.3995-1ubuntu2.26
xz-utils 5.2.5-2ubuntu1
zerofree 1.1.1-1build3
zlib1g 1:1.2.11.dfsg-2ubuntu9.2
zstd 1.4.8+dfsg-3build1
